run_id,timestamp,case_id,game,provider,model,initial_board,final_board,completed_turns,stopped_reason,winner,total_turns,valid_turns,invalid_turns,is_completed,is_initially_terminal,is_non_terminal_case,has_invalid_turn,has_valid_turn,move_accuracy_case,invalid_move_rate_case,x_win,o_win,draw
20260318_233806,20260318_233806,ttt_case_0,tictactoe,groq,llama-3.1-8b-instant,"Rows/Cols are 0-indexed.
Board:
0: X | . | .
1: . | . | .
2: . | . | .
    0   1   2
Current player: O","Rows/Cols are 0-indexed.
Board:
0: X | X | X
1: . | O | O
2: . | . | .
    0   1   2
Current player: O",4,terminal_state_reached,X,4,4,0,True,False,True,False,True,1.0,0.0,True,False,False
20260318_233806,20260318_233806,ttt_case_1,tictactoe,groq,llama-3.1-8b-instant,"Rows/Cols are 0-indexed.
Board:
0: . | X | .
1: X | O | .
2: . | . | O
    0   1   2
Current player: X","Rows/Cols are 0-indexed.
Board:
0: X | X | X
1: X | O | O
2: . | . | O
    0   1   2
Current player: O",3,terminal_state_reached,X,3,3,0,True,False,True,False,True,1.0,0.0,True,False,False
20260318_233806,20260318_233806,ttt_case_2,tictactoe,groq,llama-3.1-8b-instant,"Rows/Cols are 0-indexed.
Board:
0: . | . | .
1: . | . | .
2: . | . | X
    0   1   2
Current player: O","Rows/Cols are 0-indexed.
Board:
0: X | X | .
1: O | O | O
2: . | . | X
    0   1   2
Current player: X",5,terminal_state_reached,O,5,5,0,True,False,True,False,True,1.0,0.0,False,True,False
20260318_233806,20260318_233806,ttt_case_3,tictactoe,groq,llama-3.1-8b-instant,"Rows/Cols are 0-indexed.
Board:
0: . | . | .
1: . | . | .
2: X | . | .
    0   1   2
Current player: O","Rows/Cols are 0-indexed.
Board:
0: X | X | X
1: O | O | .
2: X | O | .
    0   1   2
Current player: O",6,terminal_state_reached,X,6,6,0,True,False,True,False,True,1.0,0.0,True,False,False
20260318_233806,20260318_233806,ttt_case_4,tictactoe,groq,llama-3.1-8b-instant,"Rows/Cols are 0-indexed.
Board:
0: . | . | .
1: . | . | .
2: . | . | .
    0   1   2
Current player: X","Rows/Cols are 0-indexed.
Board:
0: X | X | X
1: . | O | O
2: . | . | .
    0   1   2
Current player: O",5,terminal_state_reached,X,5,5,0,True,False,True,False,True,1.0,0.0,True,False,False
20260318_233806,20260318_233806,ttt_case_5,tictactoe,groq,llama-3.1-8b-instant,"Rows/Cols are 0-indexed.
Board:
0: . | . | .
1: . | . | .
2: . | . | .
    0   1   2
Current player: X","Rows/Cols are 0-indexed.
Board:
0: X | X | X
1: . | O | O
2: . | . | .
    0   1   2
Current player: O",5,terminal_state_reached,X,5,5,0,True,False,True,False,True,1.0,0.0,True,False,False
20260318_233806,20260318_233806,ttt_case_6,tictactoe,groq,llama-3.1-8b-instant,"Rows/Cols are 0-indexed.
Board:
0: . | . | .
1: X | . | .
2: . | . | .
    0   1   2
Current player: O","Rows/Cols are 0-indexed.
Board:
0: X | X | X
1: X | O | .
2: . | O | O
    0   1   2
Current player: O",6,terminal_state_reached,X,6,6,0,True,False,True,False,True,1.0,0.0,True,False,False
20260318_233806,20260318_233806,ttt_case_7,tictactoe,groq,llama-3.1-8b-instant,"Rows/Cols are 0-indexed.
Board:
0: O | . | .
1: . | . | X
2: . | . | X
    0   1   2
Current player: O","Rows/Cols are 0-indexed.
Board:
0: O | O | O
1: . | X | X
2: . | . | X
    0   1   2
Current player: X",3,terminal_state_reached,O,3,3,0,True,False,True,False,True,1.0,0.0,False,True,False
20260318_233806,20260318_233806,ttt_case_8,tictactoe,groq,llama-3.1-8b-instant,"Rows/Cols are 0-indexed.
Board:
0: . | X | .
1: . | . | .
2: O | . | X
    0   1   2
Current player: O","Rows/Cols are 0-indexed.
Board:
0: X | X | X
1: . | O | O
2: O | . | X
    0   1   2
Current player: O",4,terminal_state_reached,X,4,4,0,True,False,True,False,True,1.0,0.0,True,False,False
20260318_233806,20260318_233806,ttt_case_9,tictactoe,groq,llama-3.1-8b-instant,"Rows/Cols are 0-indexed.
Board:
0: O | . | O
1: X | X | O
2: X | . | X
    0   1   2
Current player: O","Rows/Cols are 0-indexed.
Board:
0: O | O | O
1: X | X | O
2: X | . | X
    0   1   2
Current player: X",1,terminal_state_reached,O,1,1,0,True,False,True,False,True,1.0,0.0,False,True,False
20260318_233806,20260318_233806,ttt_case_10,tictactoe,groq,llama-3.1-8b-instant,"Rows/Cols are 0-indexed.
Board:
0: . | . | .
1: X | . | .
2: O | . | .
    0   1   2
Current player: X","Rows/Cols are 0-indexed.
Board:
0: X | . | X
1: X | O | X
2: O | O | O
    0   1   2
Current player: X",6,terminal_state_reached,O,6,6,0,True,False,True,False,True,1.0,0.0,False,True,False
20260318_233806,20260318_233806,ttt_case_11,tictactoe,groq,llama-3.1-8b-instant,"Rows/Cols are 0-indexed.
Board:
0: . | X | .
1: . | . | .
2: . | . | .
    0   1   2
Current player: O","Rows/Cols are 0-indexed.
Board:
0: . | X | X
1: O | O | O
2: X | . | .
    0   1   2
Current player: X",5,terminal_state_reached,O,5,5,0,True,False,True,False,True,1.0,0.0,False,True,False
20260318_233806,20260318_233806,ttt_case_12,tictactoe,groq,llama-3.1-8b-instant,"Rows/Cols are 0-indexed.
Board:
0: . | X | .
1: O | O | .
2: O | X | X
    0   1   2
Current player: X","Rows/Cols are 0-indexed.
Board:
0: X | X | O
1: O | O | .
2: O | X | X
    0   1   2
Current player: X",2,terminal_state_reached,O,2,2,0,True,False,True,False,True,1.0,0.0,False,True,False
