run_id,case_id,game,model,initial_board,stopped_reason,winner,valid_turns,total_turns
20260321_221815,case_0,tictactoe,llama-3.1-8b-instant,"Rows/Cols are 0-indexed.
Board:
0: X | . | .
1: . | . | .
2: . | . | .
    0   1   2
Current player: O",terminal_state_reached,X,8,8
20260321_221815,case_1,tictactoe,llama-3.1-8b-instant,"Rows/Cols are 0-indexed.
Board:
0: . | X | .
1: X | O | .
2: . | . | O
    0   1   2
Current player: X",terminal_state_reached,X,3,3
20260321_221815,case_2,tictactoe,llama-3.1-8b-instant,"Rows/Cols are 0-indexed.
Board:
0: . | . | .
1: . | . | .
2: . | . | X
    0   1   2
Current player: O",terminal_state_reached,O,7,7
20260321_221815,case_3,tictactoe,llama-3.1-8b-instant,"Rows/Cols are 0-indexed.
Board:
0: . | . | .
1: . | . | .
2: X | . | .
    0   1   2
Current player: O",terminal_state_reached,X,4,4
20260321_221815,case_4,tictactoe,llama-3.1-8b-instant,"Rows/Cols are 0-indexed.
Board:
0: . | . | .
1: . | . | .
2: . | . | .
    0   1   2
Current player: X",invalid_move,,6,7
20260321_221815,case_5,tictactoe,llama-3.1-8b-instant,"Rows/Cols are 0-indexed.
Board:
0: . | . | .
1: . | . | .
2: . | . | .
    0   1   2
Current player: X",invalid_move,,0,1
20260321_221815,case_6,tictactoe,llama-3.1-8b-instant,"Rows/Cols are 0-indexed.
Board:
0: . | . | .
1: X | . | .
2: . | . | .
    0   1   2
Current player: O",invalid_move,,0,1
20260321_221815,case_7,tictactoe,llama-3.1-8b-instant,"Rows/Cols are 0-indexed.
Board:
0: O | . | .
1: . | . | X
2: . | . | X
    0   1   2
Current player: O",invalid_move,,0,1
20260321_221815,case_8,tictactoe,llama-3.1-8b-instant,"Rows/Cols are 0-indexed.
Board:
0: . | X | .
1: . | . | .
2: O | . | X
    0   1   2
Current player: O",invalid_move,,0,1
20260321_221815,case_9,tictactoe,llama-3.1-8b-instant,"Rows/Cols are 0-indexed.
Board:
0: O | . | O
1: X | X | O
2: X | . | X
    0   1   2
Current player: O",invalid_move,,0,1
20260321_221815,case_10,tictactoe,llama-3.1-8b-instant,"Rows/Cols are 0-indexed.
Board:
0: . | . | .
1: X | . | .
2: O | . | .
    0   1   2
Current player: X",invalid_move,,0,1
20260321_221815,case_11,tictactoe,llama-3.1-8b-instant,"Rows/Cols are 0-indexed.
Board:
0: . | X | .
1: . | . | .
2: . | . | .
    0   1   2
Current player: O",invalid_move,,0,1
20260321_221815,case_12,tictactoe,llama-3.1-8b-instant,"Rows/Cols are 0-indexed.
Board:
0: . | X | .
1: O | O | .
2: O | X | X
    0   1   2
Current player: X",invalid_move,,0,1
20260321_221815,case_13,tictactoe,llama-3.1-8b-instant,"Rows/Cols are 0-indexed.
Board:
0: . | . | .
1: . | . | .
2: . | . | .
    0   1   2
Current player: X",invalid_move,,0,1
20260321_221815,case_14,tictactoe,llama-3.1-8b-instant,"Rows/Cols are 0-indexed.
Board:
0: O | O | .
1: . | X | O
2: X | X | X
    0   1   2
Current player: O",terminal_state_reached,X,0,0
20260321_221815,case_15,tictactoe,llama-3.1-8b-instant,"Rows/Cols are 0-indexed.
Board:
0: O | X | O
1: O | O | X
2: X | X | X
    0   1   2
Current player: O",terminal_state_reached,X,0,0
20260321_221815,case_16,tictactoe,llama-3.1-8b-instant,"Rows/Cols are 0-indexed.
Board:
0: . | . | .
1: . | . | .
2: X | . | .
    0   1   2
Current player: O",invalid_move,,0,1
20260321_221815,case_17,tictactoe,llama-3.1-8b-instant,"Rows/Cols are 0-indexed.
Board:
0: . | X | .
1: O | . | O
2: . | X | .
    0   1   2
Current player: X",invalid_move,,0,1
20260321_221815,case_18,tictactoe,llama-3.1-8b-instant,"Rows/Cols are 0-indexed.
Board:
0: X | . | .
1: X | . | O
2: . | X | O
    0   1   2
Current player: O",invalid_move,,0,1
20260321_221815,case_19,tictactoe,llama-3.1-8b-instant,"Rows/Cols are 0-indexed.
Board:
0: O | X | X
1: X | O | O
2: O | X | X
    0   1   2
Current player: O",terminal_state_reached,draw,0,0
20260321_221815,case_20,tictactoe,llama-3.1-8b-instant,"Rows/Cols are 0-indexed.
Board:
0: . | . | .
1: . | . | .
2: . | . | .
    0   1   2
Current player: X",invalid_move,,0,1
20260321_221815,case_21,tictactoe,llama-3.1-8b-instant,"Rows/Cols are 0-indexed.
Board:
0: X | . | .
1: . | X | .
2: O | . | .
    0   1   2
Current player: O",invalid_move,,0,1
20260321_221815,case_22,tictactoe,llama-3.1-8b-instant,"Rows/Cols are 0-indexed.
Board:
0: . | X | .
1: . | O | .
2: X | . | O
    0   1   2
Current player: X",invalid_move,,0,1
20260321_221815,case_23,tictactoe,llama-3.1-8b-instant,"Rows/Cols are 0-indexed.
Board:
0: . | . | .
1: X | X | X
2: . | O | O
    0   1   2
Current player: O",terminal_state_reached,X,0,0
20260321_221815,case_24,tictactoe,llama-3.1-8b-instant,"Rows/Cols are 0-indexed.
Board:
0: . | . | O
1: . | X | .
2: . | . | .
    0   1   2
Current player: X",invalid_move,,0,1
20260321_221815,case_25,tictactoe,llama-3.1-8b-instant,"Rows/Cols are 0-indexed.
Board:
0: . | . | .
1: . | O | .
2: X | . | X
    0   1   2
Current player: O",invalid_move,,0,1
20260321_221815,case_26,tictactoe,llama-3.1-8b-instant,"Rows/Cols are 0-indexed.
Board:
0: X | O | X
1: X | . | .
2: X | O | O
    0   1   2
Current player: O",terminal_state_reached,X,0,0
20260321_221815,case_27,tictactoe,llama-3.1-8b-instant,"Rows/Cols are 0-indexed.
Board:
0: . | . | .
1: . | . | .
2: . | . | .
    0   1   2
Current player: X",invalid_move,,0,1
20260321_221815,case_28,tictactoe,llama-3.1-8b-instant,"Rows/Cols are 0-indexed.
Board:
0: . | . | X
1: . | . | .
2: . | . | .
    0   1   2
Current player: O",invalid_move,,0,1
20260321_221815,case_29,tictactoe,llama-3.1-8b-instant,"Rows/Cols are 0-indexed.
Board:
0: . | O | .
1: . | . | .
2: X | . | .
    0   1   2
Current player: X",invalid_move,,0,1
20260321_221815,case_30,tictactoe,llama-3.1-8b-instant,"Rows/Cols are 0-indexed.
Board:
0: O | . | O
1: . | X | .
2: X | X | O
    0   1   2
Current player: X",invalid_move,,0,1
20260321_221815,case_31,tictactoe,llama-3.1-8b-instant,"Rows/Cols are 0-indexed.
Board:
0: . | . | .
1: . | . | .
2: . | . | X
    0   1   2
Current player: O",invalid_move,,0,1
20260321_221815,case_32,tictactoe,llama-3.1-8b-instant,"Rows/Cols are 0-indexed.
Board:
0: . | O | .
1: X | . | X
2: O | . | .
    0   1   2
Current player: X",invalid_move,,0,1
20260321_221815,case_33,tictactoe,llama-3.1-8b-instant,"Rows/Cols are 0-indexed.
Board:
0: O | . | .
1: . | . | .
2: . | X | .
    0   1   2
Current player: X",invalid_move,,0,1
20260321_221815,case_34,tictactoe,llama-3.1-8b-instant,"Rows/Cols are 0-indexed.
Board:
0: O | . | O
1: . | . | X
2: . | . | X
    0   1   2
Current player: X",invalid_move,,0,1
20260321_221815,case_35,tictactoe,llama-3.1-8b-instant,"Rows/Cols are 0-indexed.
Board:
0: . | X | .
1: O | O | .
2: . | . | X
    0   1   2
Current player: X",invalid_move,,0,1
20260321_221815,case_36,tictactoe,llama-3.1-8b-instant,"Rows/Cols are 0-indexed.
Board:
0: O | . | .
1: . | . | .
2: . | . | X
    0   1   2
Current player: X",invalid_move,,0,1
20260321_221815,case_37,tictactoe,llama-3.1-8b-instant,"Rows/Cols are 0-indexed.
Board:
0: X | O | X
1: O | X | X
2: O | X | O
    0   1   2
Current player: O",terminal_state_reached,draw,0,0
20260321_221815,case_38,tictactoe,llama-3.1-8b-instant,"Rows/Cols are 0-indexed.
Board:
0: X | X | O
1: X | O | O
2: . | X | O
    0   1   2
Current player: X",terminal_state_reached,O,0,0
20260321_221815,case_39,tictactoe,llama-3.1-8b-instant,"Rows/Cols are 0-indexed.
Board:
0: . | . | X
1: . | X | O
2: X | O | .
    0   1   2
Current player: O",terminal_state_reached,X,0,0
20260321_221815,case_40,tictactoe,llama-3.1-8b-instant,"Rows/Cols are 0-indexed.
Board:
0: . | . | .
1: O | . | .
2: X | . | X
    0   1   2
Current player: O",invalid_move,,0,1
20260321_221815,case_41,tictactoe,llama-3.1-8b-instant,"Rows/Cols are 0-indexed.
Board:
0: . | . | .
1: X | . | O
2: X | O | .
    0   1   2
Current player: X",invalid_move,,0,1
20260321_221815,case_42,tictactoe,llama-3.1-8b-instant,"Rows/Cols are 0-indexed.
Board:
0: O | X | X
1: O | O | .
2: X | . | X
    0   1   2
Current player: O",terminal_state_reached,O,1,1
20260321_221815,case_43,tictactoe,llama-3.1-8b-instant,"Rows/Cols are 0-indexed.
Board:
0: X | O | X
1: X | O | X
2: O | O | .
    0   1   2
Current player: X",terminal_state_reached,O,0,0
20260321_221815,case_44,tictactoe,llama-3.1-8b-instant,"Rows/Cols are 0-indexed.
Board:
0: . | X | .
1: X | O | .
2: X | . | O
    0   1   2
Current player: O",invalid_move,,0,1
20260321_221815,case_45,tictactoe,llama-3.1-8b-instant,"Rows/Cols are 0-indexed.
Board:
0: . | . | O
1: . | . | .
2: X | . | X
    0   1   2
Current player: O",invalid_move,,0,1
20260321_221815,case_46,tictactoe,llama-3.1-8b-instant,"Rows/Cols are 0-indexed.
Board:
0: X | O | O
1: O | O | X
2: X | X | X
    0   1   2
Current player: O",terminal_state_reached,X,0,0
20260321_221815,case_47,tictactoe,llama-3.1-8b-instant,"Rows/Cols are 0-indexed.
Board:
0: X | . | .
1: X | . | .
2: X | O | O
    0   1   2
Current player: O",terminal_state_reached,X,0,0
20260321_221815,case_48,tictactoe,llama-3.1-8b-instant,"Rows/Cols are 0-indexed.
Board:
0: X | . | .
1: . | . | .
2: . | . | .
    0   1   2
Current player: O",invalid_move,,0,1
20260321_221815,case_49,tictactoe,llama-3.1-8b-instant,"Rows/Cols are 0-indexed.
Board:
0: . | O | X
1: O | X | X
2: . | . | O
    0   1   2
Current player: X",invalid_move,,0,1
20260321_222044,case_0,tictactoe,qwen/qwen3-32b,"Rows/Cols are 0-indexed.
Board:
0: X | . | .
1: . | . | .
2: . | . | .
    0   1   2
Current player: O",terminal_state_reached,draw,8,8
20260321_222044,case_1,tictactoe,qwen/qwen3-32b,"Rows/Cols are 0-indexed.
Board:
0: . | X | .
1: X | O | .
2: . | . | O
    0   1   2
Current player: X",terminal_state_reached,O,4,4
20260321_222044,case_2,tictactoe,qwen/qwen3-32b,"Rows/Cols are 0-indexed.
Board:
0: . | . | .
1: . | . | .
2: . | . | X
    0   1   2
Current player: O",terminal_state_reached,O,5,5
20260321_222044,case_3,tictactoe,qwen/qwen3-32b,"Rows/Cols are 0-indexed.
Board:
0: . | . | .
1: . | . | .
2: X | . | .
    0   1   2
Current player: O",terminal_state_reached,draw,8,8
20260321_222044,case_4,tictactoe,qwen/qwen3-32b,"Rows/Cols are 0-indexed.
Board:
0: . | . | .
1: . | . | .
2: . | . | .
    0   1   2
Current player: X",terminal_state_reached,X,9,9
20260321_222044,case_5,tictactoe,qwen/qwen3-32b,"Rows/Cols are 0-indexed.
Board:
0: . | . | .
1: . | . | .
2: . | . | .
    0   1   2
Current player: X",terminal_state_reached,draw,9,9
20260321_222044,case_6,tictactoe,qwen/qwen3-32b,"Rows/Cols are 0-indexed.
Board:
0: . | . | .
1: X | . | .
2: . | . | .
    0   1   2
Current player: O",invalid_move,,6,7
20260321_222044,case_7,tictactoe,qwen/qwen3-32b,"Rows/Cols are 0-indexed.
Board:
0: O | . | .
1: . | . | X
2: . | . | X
    0   1   2
Current player: O",terminal_state_reached,O,5,5
20260321_222044,case_8,tictactoe,qwen/qwen3-32b,"Rows/Cols are 0-indexed.
Board:
0: . | X | .
1: . | . | .
2: O | . | X
    0   1   2
Current player: O",terminal_state_reached,X,6,6
20260321_222044,case_9,tictactoe,qwen/qwen3-32b,"Rows/Cols are 0-indexed.
Board:
0: O | . | O
1: X | X | O
2: X | . | X
    0   1   2
Current player: O",terminal_state_reached,O,1,1
20260321_222044,case_10,tictactoe,qwen/qwen3-32b,"Rows/Cols are 0-indexed.
Board:
0: . | . | .
1: X | . | .
2: O | . | .
    0   1   2
Current player: X",terminal_state_reached,X,5,5
20260321_222044,case_11,tictactoe,qwen/qwen3-32b,"Rows/Cols are 0-indexed.
Board:
0: . | X | .
1: . | . | .
2: . | . | .
    0   1   2
Current player: O",terminal_state_reached,O,5,5
20260321_222044,case_12,tictactoe,qwen/qwen3-32b,"Rows/Cols are 0-indexed.
Board:
0: . | X | .
1: O | O | .
2: O | X | X
    0   1   2
Current player: X",terminal_state_reached,O,2,2
20260321_222044,case_13,tictactoe,qwen/qwen3-32b,"Rows/Cols are 0-indexed.
Board:
0: . | . | .
1: . | . | .
2: . | . | .
    0   1   2
Current player: X",terminal_state_reached,X,7,7
20260321_222044,case_14,tictactoe,qwen/qwen3-32b,"Rows/Cols are 0-indexed.
Board:
0: O | O | .
1: . | X | O
2: X | X | X
    0   1   2
Current player: O",terminal_state_reached,X,0,0
20260321_222044,case_15,tictactoe,qwen/qwen3-32b,"Rows/Cols are 0-indexed.
Board:
0: O | X | O
1: O | O | X
2: X | X | X
    0   1   2
Current player: O",terminal_state_reached,X,0,0
20260321_222044,case_16,tictactoe,qwen/qwen3-32b,"Rows/Cols are 0-indexed.
Board:
0: . | . | .
1: . | . | .
2: X | . | .
    0   1   2
Current player: O",terminal_state_reached,draw,8,8
20260321_222044,case_17,tictactoe,qwen/qwen3-32b,"Rows/Cols are 0-indexed.
Board:
0: . | X | .
1: O | . | O
2: . | X | .
    0   1   2
Current player: X",terminal_state_reached,X,1,1
20260321_222044,case_18,tictactoe,qwen/qwen3-32b,"Rows/Cols are 0-indexed.
Board:
0: X | . | .
1: X | . | O
2: . | X | O
    0   1   2
Current player: O",terminal_state_reached,O,3,3
20260321_222044,case_19,tictactoe,qwen/qwen3-32b,"Rows/Cols are 0-indexed.
Board:
0: O | X | X
1: X | O | O
2: O | X | X
    0   1   2
Current player: O",terminal_state_reached,draw,0,0
